Saturday 2022-12-24,,"File browser for loading files
"
Saturday 2022-12-24,,"Allow custom fonts, in addition to the default Tkinter ones
"
Saturday 2022-12-24,,Connect Google Docs API and make it write to a Google Doc (play around with the API in dev/python/google first)
Friday 2022-12-23,,"Entry groups - expand outward. Groups can have custom names and colors. Group manager window allows you to move entries from group to group. (This would be really helpful for the to-do list. Groups could include Settings, Entry: Debug, Font, Color schemes, Search/filter, Export, Prompts (for journaling), Build/Install). Groups can sort their entries as ordered or unordered lists."
Friday 2022-12-23,,"Entries with countdown dates and times
"
Friday 2022-12-23,,"Entries with images
"
Friday 2022-12-23,,"tk messagebox for giving the user feedback
"
Thursday 2022-12-22,,"Shawn's idea - journal prompts. Save them to JSON and then add the ability to make custom prompts in the Settings menu.
"
Sunday 2022-12-18,,"Put settings in a canvas with a scrollbar so that it can be scrollable	
"
Saturday 2022-12-17,,"If default color scheme not found, display a message asking the user to pick a color scheme from the dropdown menu.
"
Friday 2022-12-23,,"Settings: Show/hide date, time, menu buttons

"
Tuesday 2022-12-20,,"Settings: add font sizes and families
"
